,Rank,year,MovieName,Genre,Number,Budget,Resource_x,Runtime,Release,GoldRelease,IssueDataOfGoldenWeek,ReleaseInfo,DoubanRate,Country,Distributor,Gross,Week,db_link,db_id,imdb_id,imdb_link,Maoyan_link_x,Maoyan_link_y,TotalWechatClicks,TotalWeiboClicks,Resource_y
117,44,2018,Maze Runner: The Death Cure,Sci-Fi,21,"$62,000,000
            ",,143,26-Jan,0,1,25,5.3,USA,Fox,"$48,720,608 ",4,https://movie.douban.com/subject/26004132/,26004132,tt4500922,https://www.imdb.com/title/tt4500922/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/248639,https://piaofang.maoyan.com/movie/248639,,,3267.0万
118,44,2018,Maze Runner: The Death Cure,Thriller,24,"$62,000,000
            ",,143,26-Jan,0,1,25,5.3,USA,Fox,"$48,720,608 ",4,https://movie.douban.com/subject/26004132/,26004132,tt4500922,https://www.imdb.com/title/tt4500922/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/248639,https://piaofang.maoyan.com/movie/248639,,,3267.0万
119,45,2018,Golden Job,Action,1,,273.35,100,21-Sep,0,4,5,5,Hong,,"$45,776,274 ",38,https://movie.douban.com/subject/27069427/,27069427,tt7521990,https://www.imdb.com/title/tt7521990/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/1204774,https://piaofang.maoyan.com/movie/1204774,188万+,569044,2734.8万
120,45,2018,Golden Job,Adventure,2,,273.35,100,21-Sep,0,4,5,5,Hong,,"$45,776,274 ",38,https://movie.douban.com/subject/27069427/,27069427,tt7521990,https://www.imdb.com/title/tt7521990/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/1204774,https://piaofang.maoyan.com/movie/1204774,188万+,569044,2734.8万
121,46,2015,Bajrangi Bhaijaan,Action,1,,100,163,2-Mar,0,2,5,8.5,India,,"$45,534,364 ",9,https://movie.douban.com/subject/26393561/,26393561,tt3863552,https://www.imdb.com/title/tt3863552/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/343136,https://piaofang.maoyan.com/movie/343136,,,
122,46,2015,Bajrangi Bhaijaan,Comedy,6,,100,163,2-Mar,0,2,5,8.5,India,,"$45,534,364 ",9,https://movie.douban.com/subject/26393561/,26393561,tt3863552,https://www.imdb.com/title/tt3863552/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/343136,https://piaofang.maoyan.com/movie/343136,,,
123,46,2015,Bajrangi Bhaijaan,Drama,12,,100,163,2-Mar,0,2,5,8.5,India,,"$45,534,364 ",9,https://movie.douban.com/subject/26393561/,26393561,tt3863552,https://www.imdb.com/title/tt3863552/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/343136,https://piaofang.maoyan.com/movie/343136,,,
124,47,2017,Star Wars: The Last Jedi,Action,1,,,,5-Jan,0,1,5,7.1,USA,Disney,"$42,577,974 ",1,https://movie.douban.com/subject/22265634/,22265634,tt3486354,https://www.imdb.com/title/tt3486354/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/247948,https://piaofang.maoyan.com/movie/247948,111万+,81541,1445.1万
125,47,2017,Star Wars: The Last Jedi,Fantasy,14,,,,5-Jan,0,1,5,7.1,USA,Disney,"$42,577,974 ",1,https://movie.douban.com/subject/22265634/,22265634,tt3486354,https://www.imdb.com/title/tt3486354/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/247948,https://piaofang.maoyan.com/movie/247948,111万+,81541,1445.1万
126,47,2017,Star Wars: The Last Jedi,Sci-Fi,21,,,,5-Jan,0,1,5,7.1,USA,Disney,"$42,577,974 ",1,https://movie.douban.com/subject/22265634/,22265634,tt3486354,https://www.imdb.com/title/tt3486354/?ref_=nv_sr_1,https://piaofang.maoyan.com/movie/247948,https://piaofang.maoyan.com/movie/247948,111万+,81541,1445.1万
