,key_0,Rank,MovieName,Distributor,Gross,Release,Week,BOM_link,ReleaseInfo,db_link,db_id,rating,year,imdb_id,imdb_link,Runtime,Budget,Country,Resource_x,Maoyan_link_x,WeiboClicks,GoldRelease,IssueDataOfGoldenWeek,Genre,Number,Genre,Maoyan_link_y,TotalWeiboClicks,TotalWechatClicks,Resource_y
29,COMEDY,10,Monkey King: Hero Is Back,,"$153,020,000 ",2-Jul,27,https://www.boxofficemojo.com//movies/intl/?id=_fMONKEYKINGHEROIS01&country=CH&wk=2015W28&id=_fMONKEYKINGHEROIS01&p=.htm,9,https://movie.douban.com/subject/26277313/,26277313,8.3,2015,tt4644382,https://www.imdb.com/title/tt4644382/?ref_=nv_sr_1,89,,China,,https://piaofang.maoyan.com/movie/246397,,0,4,Comedy,6,Comedy,https://piaofang.maoyan.com/movie/246397,,,
30,FANTASY,10,Monkey King: Hero Is Back,,"$153,020,000 ",2-Jul,27,https://www.boxofficemojo.com//movies/intl/?id=_fMONKEYKINGHEROIS01&country=CH&wk=2015W28&id=_fMONKEYKINGHEROIS01&p=.htm,9,https://movie.douban.com/subject/26277313/,26277313,8.3,2015,tt4644382,https://www.imdb.com/title/tt4644382/?ref_=nv_sr_1,89,,China,,https://piaofang.maoyan.com/movie/246397,,0,4,Fantasy,14,Fantasy,https://piaofang.maoyan.com/movie/246397,,,
31,ACTION,11,Mr. Six,CL,"$137,268,153 ",22-Dec,51,https://www.boxofficemojo.com//movies/?page=intl&id=mrsix.htm,8,https://movie.douban.com/subject/24751756/,24751756,7.8,2015,tt4701702,https://www.imdb.com/title/tt4701702/?ref_=nv_sr_1,134,,China,暂无 ,https://piaofang.maoyan.com/movie/246211,,0,1,Action,1,Action,https://piaofang.maoyan.com/movie/246211,,,
32,DRAMA,11,Mr. Six,CL,"$137,268,153 ",22-Dec,51,https://www.boxofficemojo.com//movies/?page=intl&id=mrsix.htm,8,https://movie.douban.com/subject/24751756/,24751756,7.8,2015,tt4701702,https://www.imdb.com/title/tt4701702/?ref_=nv_sr_1,134,,China,暂无 ,https://piaofang.maoyan.com/movie/246211,,0,1,Drama,12,Drama,https://piaofang.maoyan.com/movie/246211,,,
33,ACTION,12,Mission: Impossible - Rogue Nation,,"$135,653,541 ",8-Sep,36,https://www.boxofficemojo.com//movies/?page=intl&id=mi5.htm,5,https://movie.douban.com/subject/10727641/,10727641,7.7,2015,tt2381249,https://www.imdb.com/title/tt2381249/?ref_=nv_sr_1,131,"$150,000,000
            ",USA,暂无 ,https://piaofang.maoyan.com/movie/75090,595,0,4,Action,1,Action,https://piaofang.maoyan.com/movie/75090,595,6.0万,
34,ADVENTURE,12,Mission: Impossible - Rogue Nation,,"$135,653,541 ",8-Sep,36,https://www.boxofficemojo.com//movies/?page=intl&id=mi5.htm,5,https://movie.douban.com/subject/10727641/,10727641,7.7,2015,tt2381249,https://www.imdb.com/title/tt2381249/?ref_=nv_sr_1,131,"$150,000,000
            ",USA,暂无 ,https://piaofang.maoyan.com/movie/75090,595,0,4,Adventure,2,Adventure,https://piaofang.maoyan.com/movie/75090,595,6.0万,
35,THRILLER,12,Mission: Impossible - Rogue Nation,,"$135,653,541 ",8-Sep,36,https://www.boxofficemojo.com//movies/?page=intl&id=mi5.htm,5,https://movie.douban.com/subject/10727641/,10727641,7.7,2015,tt2381249,https://www.imdb.com/title/tt2381249/?ref_=nv_sr_1,131,"$150,000,000
            ",USA,暂无 ,https://piaofang.maoyan.com/movie/75090,595,0,4,Thriller,24,Thriller,https://piaofang.maoyan.com/movie/75090,595,6.0万,
36,,13,Detective Chinatown (Tang ren jie tan an),CL,"$125,112,232 ",25-Dec,52,,,,,,,,,,,,,,,0,1,,,,,,,
37,ADVENTURE,14,The Hobbit: The Battle of the Five Armies,China Film,"$121,720,000 ",23-Jan,4,https://www.boxofficemojo.com//movies/?page=intl&id=hobbit3.htm,4,https://movie.douban.com/subject/2973079/,2973079,8.3,2014,tt2310332,https://www.imdb.com/title/tt2310332/?ref_=nv_sr_1,144,"$250,000,000
            ",New,,https://piaofang.maoyan.com/movie/78464,,0,1,Adventure,2,Adventure,https://piaofang.maoyan.com/movie/78464,,,
38,FANTASY,14,The Hobbit: The Battle of the Five Armies,China Film,"$121,720,000 ",23-Jan,4,https://www.boxofficemojo.com//movies/?page=intl&id=hobbit3.htm,4,https://movie.douban.com/subject/2973079/,2973079,8.3,2014,tt2310332,https://www.imdb.com/title/tt2310332/?ref_=nv_sr_1,144,"$250,000,000
            ",New,,https://piaofang.maoyan.com/movie/78464,,0,1,Fantasy,14,Fantasy,https://piaofang.maoyan.com/movie/78464,,,
39,ACTION,15,Dragon Blade,,"$116,790,000 ",19-Feb,8,https://www.boxofficemojo.com//movies/?page=intl&id=dragonblade.htm,4,https://movie.douban.com/subject/25823833/,25823833,5.9,2015,tt3672840,https://www.imdb.com/title/tt3672840/?ref_=nv_sr_1,127,"$65,000,000
            ",China,,https://piaofang.maoyan.com/movie/79082,,0,1,Action,1,Action,https://piaofang.maoyan.com/movie/79082,,,
40,ADVENTURE,15,Dragon Blade,,"$116,790,000 ",19-Feb,8,https://www.boxofficemojo.com//movies/?page=intl&id=dragonblade.htm,4,https://movie.douban.com/subject/25823833/,25823833,5.9,2015,tt3672840,https://www.imdb.com/title/tt3672840/?ref_=nv_sr_1,127,"$65,000,000
            ",China,,https://piaofang.maoyan.com/movie/79082,,0,1,Adventure,2,Adventure,https://piaofang.maoyan.com/movie/79082,,,
41,DRAMA,15,Dragon Blade,,"$116,790,000 ",19-Feb,8,https://www.boxofficemojo.com//movies/?page=intl&id=dragonblade.htm,4,https://movie.douban.com/subject/25823833/,25823833,5.9,2015,tt3672840,https://www.imdb.com/title/tt3672840/?ref_=nv_sr_1,127,"$65,000,000
            ",China,,https://piaofang.maoyan.com/movie/79082,,0,1,Drama,12,Drama,https://piaofang.maoyan.com/movie/79082,,,
42,FANTASY,15,Dragon Blade,,"$116,790,000 ",19-Feb,8,https://www.boxofficemojo.com//movies/?page=intl&id=dragonblade.htm,4,https://movie.douban.com/subject/25823833/,25823833,5.9,2015,tt3672840,https://www.imdb.com/title/tt3672840/?ref_=nv_sr_1,127,"$65,000,000
            ",China,,https://piaofang.maoyan.com/movie/79082,,0,1,Fantasy,14,Fantasy,https://piaofang.maoyan.com/movie/79082,,,
