,Rank,MovieName,Distributor,Gross,Release,Week,BOM_link,ReleaseInfo,db_link,db_id,rating,year,imdb_id,imdb_link,Runtime,Budget,Country,GoldRelease,IssueDataOfGoldenWeek,Genre,Number,Maoyan_link,TotalWechatClicks,TotalWeiboClicks,Resource
218,78,Mr. Pride vs. Miss Prejudice,,"$18,019,651 ",20-Apr,16,https://www.boxofficemojo.com//movies/intl/?id=_fMRPRIDEVSMISSP01&country=CH&wk=2017W16&id=_fMRPRIDEVSMISSP01&p=.htm,6,https://movie.douban.com/subject/26644002/,26644002,4.8,2017,tt6857276,https://www.imdb.com/title/tt6857276/?ref_=nv_sr_1,108,,China,0,2,Comedy,6,https://piaofang.maoyan.com/movie/343669,,,2.64亿
219,78,Mr. Pride vs. Miss Prejudice,,"$18,019,651 ",20-Apr,16,https://www.boxofficemojo.com//movies/intl/?id=_fMRPRIDEVSMISSP01&country=CH&wk=2017W16&id=_fMRPRIDEVSMISSP01&p=.htm,6,https://movie.douban.com/subject/26644002/,26644002,4.8,2017,tt6857276,https://www.imdb.com/title/tt6857276/?ref_=nv_sr_1,108,,China,0,2,Romance,20,https://piaofang.maoyan.com/movie/343669,,,2.64亿
220,79,Cook Up A Storm,,"$17,658,952 ",10-Feb,6,https://www.boxofficemojo.com//movies/intl/?id=_fCOOKUPASTORM01&country=CH&wk=2017W6&id=_fCOOKUPASTORM01&p=.htm,6,https://movie.douban.com/subject/26711487/,26711487,4.6,2017,tt6315750,https://www.imdb.com/title/tt6315750/?ref_=nv_sr_1,97,,Hong,0,1,Drama,12,https://piaofang.maoyan.com/movie/346106,,,
221,80,Legend of the Naga Pearls,,"$17,240,653 ",11-Aug,32,https://www.boxofficemojo.com//movies/?page=intl&id=legendofthenagapearls.htm,4,https://movie.douban.com/subject/25857966/,25857966,4.3,2017,tt6288650,https://www.imdb.com/title/tt6288650/?ref_=nv_sr_1,108,"$38,000,000 ",China,0,4,Action,1,,,,
222,80,Legend of the Naga Pearls,,"$17,240,653 ",11-Aug,32,https://www.boxofficemojo.com//movies/?page=intl&id=legendofthenagapearls.htm,4,https://movie.douban.com/subject/25857966/,25857966,4.3,2017,tt6288650,https://www.imdb.com/title/tt6288650/?ref_=nv_sr_1,108,"$38,000,000 ",China,0,4,Adventure,2,,,,
223,80,Legend of the Naga Pearls,,"$17,240,653 ",11-Aug,32,https://www.boxofficemojo.com//movies/?page=intl&id=legendofthenagapearls.htm,4,https://movie.douban.com/subject/25857966/,25857966,4.3,2017,tt6288650,https://www.imdb.com/title/tt6288650/?ref_=nv_sr_1,108,"$38,000,000 ",China,0,4,Comedy,6,,,,
224,80,Legend of the Naga Pearls,,"$17,240,653 ",11-Aug,32,https://www.boxofficemojo.com//movies/?page=intl&id=legendofthenagapearls.htm,4,https://movie.douban.com/subject/25857966/,25857966,4.3,2017,tt6288650,https://www.imdb.com/title/tt6288650/?ref_=nv_sr_1,108,"$38,000,000 ",China,0,4,Fantasy,14,,,,
225,80,Legend of the Naga Pearls,,"$17,240,653 ",11-Aug,32,https://www.boxofficemojo.com//movies/?page=intl&id=legendofthenagapearls.htm,4,https://movie.douban.com/subject/25857966/,25857966,4.3,2017,tt6288650,https://www.imdb.com/title/tt6288650/?ref_=nv_sr_1,108,"$38,000,000 ",China,0,4,Romance,20,,,,
226,81,Baby Driver,Sony,"$16,576,214 ",25-Aug,34,https://www.boxofficemojo.com//movies/?page=intl&id=babydriver.htm,4,https://movie.douban.com/subject/25933890/,25933890,7,2017,tt3890160,https://www.imdb.com/title/tt3890160/?ref_=nv_sr_1,112,"$34,000,000 ",UK,0,4,Action,1,https://piaofang.maoyan.com/movie/341894,,,1.10亿
227,81,Baby Driver,Sony,"$16,576,214 ",25-Aug,34,https://www.boxofficemojo.com//movies/?page=intl&id=babydriver.htm,4,https://movie.douban.com/subject/25933890/,25933890,7,2017,tt3890160,https://www.imdb.com/title/tt3890160/?ref_=nv_sr_1,112,"$34,000,000 ",UK,0,4,Crime,8,https://piaofang.maoyan.com/movie/341894,,,1.10亿
228,81,Baby Driver,Sony,"$16,576,214 ",25-Aug,34,https://www.boxofficemojo.com//movies/?page=intl&id=babydriver.htm,4,https://movie.douban.com/subject/25933890/,25933890,7,2017,tt3890160,https://www.imdb.com/title/tt3890160/?ref_=nv_sr_1,112,"$34,000,000 ",UK,0,4,Drama,12,https://piaofang.maoyan.com/movie/341894,,,1.10亿
229,81,Baby Driver,Sony,"$16,576,214 ",25-Aug,34,https://www.boxofficemojo.com//movies/?page=intl&id=babydriver.htm,4,https://movie.douban.com/subject/25933890/,25933890,7,2017,tt3890160,https://www.imdb.com/title/tt3890160/?ref_=nv_sr_1,112,"$34,000,000 ",UK,0,4,Music,18,https://piaofang.maoyan.com/movie/341894,,,1.10亿
230,81,Baby Driver,Sony,"$16,576,214 ",25-Aug,34,https://www.boxofficemojo.com//movies/?page=intl&id=babydriver.htm,4,https://movie.douban.com/subject/25933890/,25933890,7,2017,tt3890160,https://www.imdb.com/title/tt3890160/?ref_=nv_sr_1,112,"$34,000,000 ",UK,0,4,Thriller,24,https://piaofang.maoyan.com/movie/341894,,,1.10亿
231,83,Manhunt,,"$16,116,172 ",24-Nov,47,https://www.boxofficemojo.com//movies/intl/?id=_fMANHUNT01&country=CH&wk=2017W47&id=_fMANHUNT01&p=.htm,6,https://movie.douban.com/subject/26348414/,26348414,4.5,2017,tt1054115,https://www.imdb.com/title/tt1054115/?ref_=nv_sr_1,78,,Norway,1,5,Horror,16,,,,
232,84,Seventy-Seven Days,,"$15,988,889 ",3-Nov,44,https://www.boxofficemojo.com//movies/intl/?id=_fSEVENTYSEVENDAYS01&country=CH&wk=2017W44&id=_fSEVENTYSEVENDAYS01&p=.htm,10,https://movie.douban.com/subject/26426026/,26426026,6.4,2017,tt7853798,https://www.imdb.com/title/tt7853798/?ref_=nv_sr_1,115,,China,1,5,Adventure,2,https://piaofang.maoyan.com/movie/618704,,,5127.5万
233,84,Seventy-Seven Days,,"$15,988,889 ",3-Nov,44,https://www.boxofficemojo.com//movies/intl/?id=_fSEVENTYSEVENDAYS01&country=CH&wk=2017W44&id=_fSEVENTYSEVENDAYS01&p=.htm,10,https://movie.douban.com/subject/26426026/,26426026,6.4,2017,tt7853798,https://www.imdb.com/title/tt7853798/?ref_=nv_sr_1,115,,China,1,5,Drama,12,https://piaofang.maoyan.com/movie/618704,,,5127.5万
234,85,Arrival,PPI,"$15,884,890 ",20-Jan,3,https://www.boxofficemojo.com//movies/?page=intl&id=arrival2016.htm,5,https://movie.douban.com/subject/21324900/,21324900,7.7,2016,tt2543164,https://www.imdb.com/title/tt2543164/?ref_=nv_sr_1,116,"$47,000,000 ",,0,1,Drama,12,,,,
235,87,Paths of the Soul,,"$15,409,276 ",20-Jun,25,https://www.boxofficemojo.com//movies/?page=intl&id=pathsofthesoul.htm,12,https://movie.douban.com/subject/26606242/,26606242,7.7,2015,tt4957446,https://www.imdb.com/title/tt4957446/?ref_=nv_sr_1,115,,China,1,3,Drama,12,,,,
