,Rank,MovieName,Distributor,Gross,Release,Week,BOM_link,ReleaseInfo,db_link,db_id,rating,year,imdb_id,imdb_link,Runtime,Budget,Country,GoldRelease,IssueDataOfGoldenWeek,Genre,Number
32,13,Star Wars: The Force Awakens,,"$124,159,138 ",9-Jan,2,https://www.boxofficemojo.com//movies/?page=intl&id=starwars7.htm,28,https://movie.douban.com/subject/20326665/,20326665,7.1,2015,tt2488496,https://www.imdb.com/title/tt2488496/?ref_=nv_sr_1,136,"$245,000,000 ",USA,0,1,Action,1
33,13,Star Wars: The Force Awakens,,"$124,159,138 ",9-Jan,2,https://www.boxofficemojo.com//movies/?page=intl&id=starwars7.htm,28,https://movie.douban.com/subject/20326665/,20326665,7.1,2015,tt2488496,https://www.imdb.com/title/tt2488496/?ref_=nv_sr_1,136,"$245,000,000 ",USA,0,1,Adventure,2
34,13,Star Wars: The Force Awakens,,"$124,159,138 ",9-Jan,2,https://www.boxofficemojo.com//movies/?page=intl&id=starwars7.htm,28,https://movie.douban.com/subject/20326665/,20326665,7.1,2015,tt2488496,https://www.imdb.com/title/tt2488496/?ref_=nv_sr_1,136,"$245,000,000 ",USA,0,1,Fantasy,14
35,13,Star Wars: The Force Awakens,,"$124,159,138 ",9-Jan,2,https://www.boxofficemojo.com//movies/?page=intl&id=starwars7.htm,28,https://movie.douban.com/subject/20326665/,20326665,7.1,2015,tt2488496,https://www.imdb.com/title/tt2488496/?ref_=nv_sr_1,136,"$245,000,000 ",USA,0,1,Sci-Fi,21
36,14,Ip Man 3,,"$124,101,198 ",4-Mar,9,https://www.boxofficemojo.com//movies/?page=intl&id=ipman3.htm,5,https://movie.douban.com/subject/11598977/,11598977,6.3,2015,tt2888046,https://www.imdb.com/title/tt2888046/?ref_=nv_sr_1,105,"$36,000,000 ",China,0,2,Action,1
37,15,X-Men: Apocalypse,Fox,"$120,765,095 ",3-Jun,22,https://www.boxofficemojo.com//movies/?page=intl&id=x-men2016.htm,5,https://movie.douban.com/subject/25786060/,25786060,7.7,2016,tt3385516,https://www.imdb.com/title/tt3385516/?ref_=nv_sr_1,144,"$178,000,000 ",USA,1,3,Action,1
38,15,X-Men: Apocalypse,Fox,"$120,765,095 ",3-Jun,22,https://www.boxofficemojo.com//movies/?page=intl&id=x-men2016.htm,5,https://movie.douban.com/subject/25786060/,25786060,7.7,2016,tt3385516,https://www.imdb.com/title/tt3385516/?ref_=nv_sr_1,144,"$178,000,000 ",USA,1,3,Adventure,2
39,15,X-Men: Apocalypse,Fox,"$120,765,095 ",3-Jun,22,https://www.boxofficemojo.com//movies/?page=intl&id=x-men2016.htm,5,https://movie.douban.com/subject/25786060/,25786060,7.7,2016,tt3385516,https://www.imdb.com/title/tt3385516/?ref_=nv_sr_1,144,"$178,000,000 ",USA,1,3,Sci-Fi,21
40,16,I Belonged to You,,"$118,084,717 ",29-Sep,39,https://www.boxofficemojo.com//movies/?page=intl&id=ibelongedtoyou.htm,31,https://movie.douban.com/subject/26280528/,26280528,5.2,2016,tt6074202,https://www.imdb.com/title/tt6074202/?ref_=nv_sr_1,112,"CNY&nbsp;400,000,000",China,0,4,Drama,12
41,16,I Belonged to You,,"$118,084,717 ",29-Sep,39,https://www.boxofficemojo.com//movies/?page=intl&id=ibelongedtoyou.htm,31,https://movie.douban.com/subject/26280528/,26280528,5.2,2016,tt6074202,https://www.imdb.com/title/tt6074202/?ref_=nv_sr_1,112,"CNY&nbsp;400,000,000",China,0,4,Romance,20
42,17,Finding Mr. Right 2,CL,"$114,130,123 ",29-Apr,17,https://www.boxofficemojo.com//movies/?page=intl&id=findingmr.right2.htm,53,https://movie.douban.com/subject/26322792/,26322792,6.4,2016,tt4960242,https://www.imdb.com/title/tt4960242/?ref_=nv_sr_1,132,,China,0,2,Romance,20
43,18,Doctor Strange,Disney,"$109,194,913 ",4-Nov,44,https://www.boxofficemojo.com//movies/?page=intl&id=marvel716.htm,5,https://movie.douban.com/subject/3025375/,3025375,7.6,2016,tt1211837,https://www.imdb.com/title/tt1211837/?ref_=nv_sr_1,115,"$165,000,000 ",USA,1,5,Action,1
